ID;text;sdtm
STUDY;STUDY Study Name;STUDYID
MODULE;MODULE ;MODULE
VISIT;VISIT Visit;VISIT
PATNO;PATNO Patient No.;SUBJID
PAGE_NO;PAGE NO Page No. (System);DROP
REP_NO;REP NO Repeat No.;DROP
RAND_N;RAND N Was the patient enrolled/randomized in the study?;DROP
IEYN_N;IEYN N Did the patient meet all eligibility criteria?;DROP
IESTMO_N;IESTMO N Month;DROP
IEORRES_N;IEORRES N Answer YES if the criterion is met;DROP
DSSTMO_N;DSSTMO N Month;DROP
COHORT_N;COHORT N Dose level assigned;DROP
_CLIENT_TIMESTAMP; CLIENT TIMESTAMP PheedIt Client Side Time Stamp;DROP
LAST_UPDATE;LAST UPDATE Last Update;DROP
IESTMO;IESTMO Month;DROP
IESTDYR;IESTDYR Year;DROP
IESPID;IESPID Criterion Identifier;DROP
IEORRES;IEORRES Answer YES if the criterion is met;DROP
IEYN;IEYN Did the patient meet all eligibility criteria?;DROP
IECOM;IECOM Comment if the patient did not meet all eligibility criteria:;DROP
RAND;RAND Was the patient enrolled/randomized in the study?;DROP
DSSTMO;DSSTMO Month;DROP
COHORT;COHORT Dose level assigned;DMCOHORT
DSSTDY;DSSTDY Day;DROP
DSSTYR;DSSTYR Year;DROP
IESTDY;IESTDY Day;DROP
IESTYR;IESTYR Year;DROP
SITE_NAME;SITE NAME Site Name;SITEID
